,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,target,to_Coupon,coupon_freq,occupation_class
11706,Home,Alone,Snowy,30,10PM,Coffee House,2h,Female,50plus,Married partner,1,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1,1,0,0,0,1,gt8,Medium_Low_Acceptance
11680,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,less1,1~3,4~8,1~3,never,0,0,0,0,0,never,Medium_Acceptance
11537,Work,Alone,Snowy,30,7AM,Coffee House,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,never,gt8,gt8,gt8,less1,0,0,1,1,0,gt8,Medium_High_Acceptance
12387,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,1~3,less1,4~8,1~3,less1,0,0,0,1,0,4~8,Medium_Low_Acceptance
789,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,1,0,0,1,1,1~3,Medium_Low_Acceptance
10366,No Urgent Place,Partner,Sunny,55,2PM,Bar,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,0,0,0,0,0,1~3,Medium_Acceptance
12081,Home,Alone,Sunny,80,6PM,Restaurant(20-50),1d,Female,46,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,never,4~8,4~8,1~3,less1,0,0,1,1,0,less1,Medium_Acceptance
11775,Work,Alone,Snowy,30,7AM,Coffee House,1d,Female,26,Single,0,Bachelors degree,Office & Administrative Support,$12500 - $24999,less1,less1,less1,less1,less1,0,0,1,0,0,less1,Medium_High_Acceptance
9662,Work,Alone,Rainy,55,7AM,Bar,1d,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,1~3,4~8,4~8,1~3,less1,1,1,0,0,2,1~3,Medium_High_Acceptance
11462,No Urgent Place,Alone,Sunny,80,10AM,Restaurant(<20),2h,Female,41,Married partner,1,Some college - no degree,Education&Training&Library,$100000 or More,never,gt8,gt8,gt8,4~8,0,0,0,1,0,gt8,Low_Acceptance
849,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,0,0,1,0,0,less1,Low_Acceptance
7200,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,1~3,never,1~3,less1,1,0,0,1,1,less1,Low_Acceptance
426,Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,1,0,1,2,never,Medium_Low_Acceptance
2334,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Single,0,Bachelors degree,Sales & Related,$25000 - $37499,4~8,1~3,1~3,4~8,1~3,0,0,0,1,0,4~8,Medium_Low_Acceptance
7646,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,1,0,0,0,1,never,Low_Acceptance
4009,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,4~8,gt8,4~8,4~8,4~8,0,0,1,1,0,gt8,Low_Acceptance
2114,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3,0,0,1,1,0,gt8,Medium_Low_Acceptance
8082,No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,never,4~8,1~3,less1,1,0,0,0,1,less1,Low_Acceptance
5791,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),2h,Female,31,Unmarried partner,1,Bachelors degree,Management,$25000 - $37499,4~8,less1,1~3,4~8,1~3,0,0,0,1,0,1~3,Medium_Acceptance
9175,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,1,0,0,0,1,less1,Medium_High_Acceptance
12310,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,36,Married partner,0,Bachelors degree,Unemployed,$100000 or More,less1,never,1~3,less1,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
8959,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Female,21,Unmarried partner,1,Some college - no degree,Food Preparation & Serving Related,Less than $12500,never,1~3,4~8,1~3,4~8,1,0,0,1,1,1~3,Medium_Acceptance
12322,Home,Partner,Rainy,55,6PM,Carry out & Take away,1d,Female,36,Married partner,0,Bachelors degree,Unemployed,$100000 or More,less1,never,1~3,less1,less1,0,0,1,0,0,1~3,Medium_Low_Acceptance
6716,No Urgent Place,Friend(s),Sunny,30,10PM,Coffee House,1d,Female,31,Married partner,1,Associates degree,Unemployed,$37500 - $49999,never,1~3,1~3,1~3,1~3,0,0,0,0,0,1~3,Medium_Low_Acceptance
7780,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,0,0,0,gt8,Medium_Low_Acceptance
2356,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,1~3,4~8,4~8,less1,0,0,0,1,0,4~8,Low_Acceptance
10094,Work,Alone,Sunny,80,7AM,Coffee House,1d,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,4~8,1~3,1~3,0,0,1,0,0,less1,Low_Acceptance
6021,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3,1,0,0,0,1,1~3,Medium_Low_Acceptance
1751,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Education&Training&Library,$25000 - $37499,never,1~3,less1,1~3,less1,0,0,0,1,0,1~3,Low_Acceptance
3422,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,46,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,less1,4~8,1~3,1~3,less1,1,0,0,1,1,less1,Low_Acceptance
5427,Home,Alone,Sunny,80,10PM,Bar,1d,Female,26,Single,0,Bachelors degree,Personal Care & Service,$12500 - $24999,never,less1,1~3,1~3,less1,1,0,1,0,1,never,Medium_Low_Acceptance
9170,Home,Alone,Sunny,30,6PM,Restaurant(20-50),1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,0,0,1,0,0,less1,Medium_High_Acceptance
5940,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Married partner,0,Some college - no degree,Unemployed,$37500 - $49999,less1,less1,1~3,1~3,1~3,1,0,0,0,1,less1,Medium_Low_Acceptance
4440,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$12500 - $24999,less1,gt8,4~8,1~3,less1,0,0,0,0,0,less1,Medium_High_Acceptance
9182,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,1,0,0,0,1,never,Low_Acceptance
8630,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,1~3,less1,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
4704,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Female,21,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,less1,never,1~3,4~8,1~3,0,0,0,1,0,never,Medium_High_Acceptance
6949,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,less1,1~3,gt8,4~8,less1,1,1,0,0,2,4~8,Medium_Acceptance
9722,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,46,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,never,1~3,gt8,4~8,1~3,1,0,0,1,1,1~3,Medium_High_Acceptance
11041,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,46,Single,0,Some college - no degree,Sales & Related,Less than $12500,1~3,1~3,4~8,4~8,4~8,1,0,0,1,1,1~3,Medium_Low_Acceptance
935,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,1,0,0,1,1,4~8,Medium_Acceptance
3878,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,26,Married partner,0,Bachelors degree,Healthcare Practitioners & Technical,$100000 or More,never,1~3,1~3,4~8,less1,1,0,0,1,1,never,High_Acceptance
10373,Home,Partner,Sunny,30,10PM,Restaurant(<20),1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,0,0,1,0,0,4~8,Medium_Acceptance
2164,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Student,$100000 or More,4~8,gt8,4~8,gt8,1~3,1,0,0,1,1,4~8,Medium_High_Acceptance
2175,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Bachelors degree,Student,$100000 or More,4~8,gt8,4~8,gt8,1~3,1,0,0,1,1,1~3,Medium_High_Acceptance
2627,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3,1,0,0,0,1,4~8,Medium_Acceptance
2282,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,less1,less1,less1,never,1,0,0,1,1,less1,Medium_High_Acceptance
10412,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,0,0,1,1,0,less1,Low_Acceptance
12152,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,gt8,1~3,less1,0,0,0,0,0,1~3,Low_Acceptance
7082,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,26,Married partner,0,Associates degree,Building & Grounds Cleaning & Maintenance,$37500 - $49999,less1,less1,1~3,1~3,less1,1,1,0,0,2,1~3,Medium_High_Acceptance
1888,Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,less1,less1,4~8,4~8,less1,0,0,1,1,0,less1,Medium_High_Acceptance
1759,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Education&Training&Library,$25000 - $37499,never,1~3,less1,1~3,less1,1,1,0,0,2,1~3,Low_Acceptance
8733,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,0,2,4~8,Low_Acceptance
10018,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,26,Single,0,Bachelors degree,Community & Social Services,$25000 - $37499,4~8,4~8,1~3,4~8,1~3,0,0,0,1,0,4~8,Low_Acceptance
11570,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,36,Unmarried partner,0,Some college - no degree,Construction & Extraction,$25000 - $37499,never,4~8,4~8,less1,less1,1,0,0,1,1,never,High_Acceptance
10820,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Female,26,Married partner,0,Graduate degree (Masters or Doctorate),Student,$87500 - $99999,never,4~8,less1,4~8,less1,0,0,0,0,0,less1,Medium_High_Acceptance
4924,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,1d,Female,21,Unmarried partner,1,Associates degree,Food Preparation & Serving Related,$12500 - $24999,never,never,less1,1~3,never,1,0,0,1,1,less1,Medium_Acceptance
9247,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,50plus,Married partner,1,Some college - no degree,Office & Administrative Support,$62500 - $74999,1~3,never,1~3,1~3,less1,1,0,1,0,1,1~3,Medium_High_Acceptance
1058,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3,1,0,0,0,1,gt8,Medium_High_Acceptance
4888,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,31,Married partner,1,Bachelors degree,Management,$50000 - $62499,never,never,never,less1,less1,1,1,0,0,2,never,Medium_Acceptance
11848,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$25000 - $37499,less1,less1,1~3,never,never,0,0,0,0,0,1~3,High_Acceptance
6325,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3,1,0,0,1,1,gt8,Medium_High_Acceptance
5202,No Urgent Place,Kid(s),Sunny,55,2PM,Coffee House,2h,Female,50plus,Unmarried partner,1,Some college - no degree,Management,$37500 - $49999,never,never,4~8,1~3,less1,1,0,0,0,1,never,Medium_Acceptance
1656,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,50plus,Unmarried partner,1,Bachelors degree,Personal Care & Service,$100000 or More,gt8,never,1~3,4~8,1~3,0,0,0,0,0,never,Medium_Low_Acceptance
5409,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Unmarried partner,0,Bachelors degree,Education&Training&Library,$50000 - $62499,1~3,1~3,1~3,1~3,1~3,1,0,1,0,1,1~3,Low_Acceptance
9534,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Female,below21,Unmarried partner,0,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1,1,0,0,0,1,less1,Medium_High_Acceptance
7309,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Female,26,Single,0,Bachelors degree,Office & Administrative Support,$87500 - $99999,gt8,less1,1~3,1~3,1~3,0,0,0,0,0,less1,Medium_High_Acceptance
2496,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never,0,0,0,0,0,less1,Medium_High_Acceptance
3387,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,50plus,Married partner,0,Some college - no degree,Protective Service,$37500 - $49999,never,less1,gt8,gt8,1~3,1,0,0,1,1,gt8,High_Acceptance
11840,Home,Partner,Rainy,55,6PM,Carry out & Take away,1d,Female,50plus,Widowed,1,Associates degree,Healthcare Support,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,1,1,0,4~8,High_Acceptance
2154,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$100000 or More,never,4~8,1~3,4~8,1~3,0,0,0,0,0,4~8,Medium_Acceptance
263,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
6912,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Male,31,Unmarried partner,0,Some college - no degree,Sales & Related,$62500 - $74999,gt8,1~3,1~3,4~8,less1,0,0,0,1,0,1~3,Medium_Low_Acceptance
6140,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,never,never,less1,4~8,1~3,0,0,0,1,0,never,Low_Acceptance
8533,Home,Alone,Sunny,80,6PM,Bar,2h,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,0,0,1,0,0,1~3,Medium_High_Acceptance
12286,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Female,50plus,Widowed,1,High School Graduate,Retired,$12500 - $24999,never,never,4~8,1~3,less1,0,0,0,1,0,4~8,Low_Acceptance
7941,Home,Alone,Snowy,30,10PM,Restaurant(20-50),2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8,0,0,0,1,0,gt8,High_Acceptance
1536,Home,Alone,Sunny,55,6PM,Bar,1d,Female,36,Married partner,1,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1,0,0,1,0,0,never,High_Acceptance
6562,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Female,41,Married partner,0,Bachelors degree,Office & Administrative Support,$62500 - $74999,4~8,1~3,4~8,gt8,less1,1,0,0,1,1,gt8,Medium_High_Acceptance
10662,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,1,0,1,1,1,4~8,Medium_High_Acceptance
62,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0,1,never,Medium_High_Acceptance
1282,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,1,0,4~8,Low_Acceptance
8858,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,0,1,0,1~3,Medium_Acceptance
8790,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$100000 or More,4~8,less1,1~3,1~3,less1,0,0,0,1,0,1~3,Medium_Acceptance
2186,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Sales & Related,$12500 - $24999,1~3,less1,1~3,1~3,less1,1,0,0,1,1,1~3,Medium_Low_Acceptance
3449,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,below21,Single,0,Some college - no degree,Student,$100000 or More,never,1~3,4~8,4~8,1~3,0,0,0,1,0,1~3,Medium_High_Acceptance
3709,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,26,Unmarried partner,0,High School Graduate,Business & Financial,$12500 - $24999,never,1~3,less1,1~3,never,0,0,1,1,0,less1,Medium_Acceptance
10464,Work,Alone,Sunny,30,7AM,Bar,1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,1,0,1,0,1,never,Medium_High_Acceptance
2094,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3,1,0,0,0,1,gt8,Medium_High_Acceptance
5640,Home,Alone,Sunny,55,10PM,Carry out & Take away,1d,Female,36,Single,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,4~8,4~8,1~3,less1,1,1,0,0,2,4~8,Low_Acceptance
9538,No Urgent Place,Partner,Sunny,55,2PM,Bar,1d,Female,below21,Unmarried partner,0,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1,0,0,0,1,0,less1,Medium_High_Acceptance
7258,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,1~3,1~3,gt8,4~8,less1,1,1,0,1,2,4~8,High_Acceptance
11709,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,50plus,Married partner,1,High School Graduate,Sales & Related,$37500 - $49999,never,gt8,4~8,1~3,less1,0,0,0,1,0,4~8,Medium_Low_Acceptance
5894,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,never,never,4~8,gt8,4~8,1,0,0,0,1,never,Medium_Acceptance
10502,Work,Alone,Sunny,30,7AM,Bar,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,1~3,1~3,1~3,less1,less1,1,0,1,0,1,1~3,Medium_High_Acceptance
613,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,1,0,0,0,1,1~3,Medium_High_Acceptance
6364,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8,1,0,1,1,1,4~8,Medium_Low_Acceptance
8596,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Female,21,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,1~3,1~3,less1,1~3,never,1,0,1,1,1,less1,Low_Acceptance
2834,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1,1,0,0,0,1,never,Medium_Acceptance
7660,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,1,1,0,1,2,4~8,Low_Acceptance
2979,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,never,less1,4~8,less1,less1,0,0,1,1,0,4~8,Medium_Acceptance
5029,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$12500 - $24999,less1,1~3,gt8,gt8,1~3,1,0,0,1,1,gt8,Medium_Acceptance
9627,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Production Occupations,Less than $12500,4~8,4~8,1~3,less1,1~3,1,0,0,0,1,4~8,Medium_High_Acceptance
5774,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,41,Single,1,Associates degree,Sales & Related,$25000 - $37499,less1,less1,4~8,4~8,1~3,1,1,0,0,2,less1,Medium_Low_Acceptance
9949,No Urgent Place,Friend(s),Rainy,55,10PM,Restaurant(20-50),2h,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,1~3,1~3,1~3,1,0,0,1,1,1~3,Low_Acceptance
3345,Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,never,less1,4~8,1~3,never,0,0,1,0,0,never,Medium_Acceptance
8053,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Male,31,Single,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,4~8,less1,never,1,1,0,0,2,less1,Medium_Low_Acceptance
11972,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,1~3,1~3,1~3,less1,0,0,0,1,0,1~3,Low_Acceptance
6073,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,gt8,1~3,less1,less1,1,0,0,1,1,less1,Medium_Low_Acceptance
7993,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,1~3,never,4~8,never,1~3,0,0,0,0,0,never,Medium_Acceptance
6347,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8,1,0,0,1,1,4~8,Medium_Low_Acceptance
9159,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,below21,Single,0,Some college - no degree,Student,$25000 - $37499,never,never,less1,never,less1,1,0,1,0,1,less1,Medium_High_Acceptance
4759,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,50plus,Single,0,Bachelors degree,Retired,$37500 - $49999,never,never,less1,4~8,less1,1,0,0,0,1,less1,Low_Acceptance
2084,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,36,Divorced,1,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3,1,0,0,0,1,gt8,Medium_High_Acceptance
3302,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0,0,4~8,Medium_High_Acceptance
4586,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,never,1~3,1~3,1~3,less1,1,1,0,1,2,1~3,Low_Acceptance
7589,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,less1,1~3,less1,less1,1,0,0,1,1,1~3,Medium_Acceptance
4893,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,31,Married partner,1,Bachelors degree,Management,$50000 - $62499,never,never,never,less1,less1,1,1,0,0,2,never,Medium_Acceptance
2108,Home,Alone,Sunny,55,6PM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,4~8,1~3,gt8,4~8,1~3,0,0,1,1,0,4~8,Medium_Low_Acceptance
5348,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Unmarried partner,0,Associates degree,Office & Administrative Support,$12500 - $24999,less1,1~3,1~3,1~3,1~3,1,0,0,1,1,1~3,Medium_High_Acceptance
5579,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,less1,less1,less1,1~3,less1,1,1,0,0,2,less1,Medium_High_Acceptance
2725,Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3,0,0,1,1,0,1~3,Medium_Acceptance
